"","StartAge","MatAge","DeathAge","PolicyCost","isEarlyDeath","GrossProfit"
"395",26,60,37,22693.5934864521,1,22693.5934864521
"396",37,60,77,39524.46598779,0,-164475.53401221
"397",30,60,89,27735.0538552814,0,-320264.946144719
"398",28,60,39,25084.8662777387,1,25084.8662777387
"399",40,60,79,46090.6109814258,0,-181909.389018574
"400",25,60,82,21586.579096464,0,-242413.420903536
"401",31,60,36,29166.4308372293,1,29166.4308372293
"402",30,60,73,27735.0538552814,0,-128264.946144719
"403",28,60,92,25084.8662777387,0,-358915.133722261
"404",38,60,90,41595.5273390858,0,-318404.472660914
"405",31,60,88,29166.4308372293,0,-306833.569162771
"406",38,60,69,41595.5273390858,0,-66404.4726609142
"407",34,60,74,33936.5730090924,0,-134063.426990908
"408",34,60,58,33936.5730090924,1,33936.5730090924
"409",26,60,64,22693.5934864521,0,-25306.4065135479
"410",38,60,76,41595.5273390858,0,-150404.472660914
"411",32,60,91,30674.138324602,0,-341325.861675398
"412",38,60,73,41595.5273390858,0,-114404.472660914
"413",31,60,94,29166.4308372293,0,-378833.569162771
"414",36,60,75,37561.7922776187,0,-142438.207722381
"415",30,60,84,27735.0538552814,0,-260264.946144719
"416",29,60,85,26375.7729182613,0,-273624.227081739
"417",40,60,76,46090.6109814258,0,-145909.389018574
"418",30,60,45,27735.0538552814,1,27735.0538552814
"419",28,60,73,25084.8662777387,0,-130915.133722261
"420",26,60,45,22693.5934864521,1,22693.5934864521
"421",40,60,80,46090.6109814258,0,-193909.389018574
"422",33,60,76,32262.692948038,0,-159737.307051962
"423",26,60,78,22693.5934864521,0,-193306.406513548
"424",29,60,84,26375.7729182613,0,-261624.227081739
"425",32,60,90,30674.138324602,0,-329325.861675398
"426",37,60,68,39524.46598779,0,-56475.53401221
"427",36,60,67,37561.7922776187,0,-46438.2077223813
"428",29,60,70,26375.7729182613,0,-93624.2270817386
"429",33,60,90,32262.692948038,0,-327737.307051962
"430",38,60,64,41595.5273390858,0,-6404.47266091424
"431",32,60,81,30674.138324602,0,-221325.861675398
"432",35,60,70,35701.233109925,0,-84298.766890075
"433",37,60,66,39524.46598779,0,-32475.53401221
"434",31,60,76,29166.4308372293,0,-162833.569162771
"435",37,60,90,39524.46598779,0,-320475.53401221
"436",32,60,94,30674.138324602,0,-377325.861675398
"437",39,60,64,43781.6922550225,0,-4218.30774497747
"438",26,60,89,22693.5934864521,0,-325306.406513548
"439",40,60,68,46090.6109814258,0,-49909.3890185742
"440",29,60,79,26375.7729182613,0,-201624.227081739
"441",27,60,64,23858.5741941828,0,-24141.4258058172
"442",38,60,74,41595.5273390858,0,-126404.472660914
"443",38,60,79,41595.5273390858,0,-186404.472660914
"444",40,60,62,46090.6109814258,0,22090.6109814258
"445",25,60,85,21586.579096464,0,-278413.420903536
"446",36,60,80,37561.7922776187,0,-202438.207722381
"447",36,60,88,37561.7922776187,0,-298438.207722381
"448",35,60,87,35701.233109925,0,-288298.766890075
"449",25,60,66,21586.579096464,0,-50413.420903536
"450",27,60,67,23858.5741941828,0,-60141.4258058172
"451",33,60,82,32262.692948038,0,-231737.307051962
"452",35,60,76,35701.233109925,0,-156298.766890075
"453",30,60,69,27735.0538552814,0,-80264.9461447186
"454",38,60,98,41595.5273390858,0,-414404.472660914
"455",31,60,84,29166.4308372293,0,-258833.569162771
"456",29,60,60,26375.7729182613,1,26375.7729182613
"457",31,60,78,29166.4308372293,0,-186833.569162771
"458",37,60,76,39524.46598779,0,-152475.53401221
"459",34,60,90,33936.5730090924,0,-326063.426990908
"460",31,60,40,29166.4308372293,1,29166.4308372293
"461",35,60,78,35701.233109925,0,-180298.766890075
"462",28,60,70,25084.8662777387,0,-94915.1337222614
"463",26,60,90,22693.5934864521,0,-337306.406513548
"464",25,60,89,21586.579096464,0,-326413.420903536
"465",40,60,88,46090.6109814258,0,-289909.389018574
"466",37,60,68,39524.46598779,0,-56475.53401221
"467",38,60,80,41595.5273390858,0,-198404.472660914
"468",38,60,84,41595.5273390858,0,-246404.472660914
"469",37,60,71,39524.46598779,0,-92475.53401221
"470",25,60,85,21586.579096464,0,-278413.420903536
"471",33,60,73,32262.692948038,0,-123737.307051962
"472",35,60,85,35701.233109925,0,-264298.766890075
"473",32,60,90,30674.138324602,0,-329325.861675398
"474",39,60,72,43781.6922550225,0,-100218.307744977
"475",31,60,81,29166.4308372293,0,-222833.569162771
"476",26,60,86,22693.5934864521,0,-289306.406513548
"477",32,60,87,30674.138324602,0,-293325.861675398
"478",25,60,56,21586.579096464,1,21586.579096464
"479",38,60,88,41595.5273390858,0,-294404.472660914
"480",36,60,59,37561.7922776187,1,37561.7922776187
"481",30,60,75,27735.0538552814,0,-152264.946144719
"482",36,60,71,37561.7922776187,0,-94438.2077223813
"483",33,60,50,32262.692948038,1,32262.692948038
"484",37,60,46,39524.46598779,1,39524.46598779
"485",40,60,69,46090.6109814258,0,-61909.3890185742
"486",30,60,88,27735.0538552814,0,-308264.946144719
"487",35,60,80,35701.233109925,0,-204298.766890075
"488",27,60,66,23858.5741941828,0,-48141.4258058172
"489",40,60,67,46090.6109814258,0,-37909.3890185742
"490",27,60,88,23858.5741941828,0,-312141.425805817
"491",25,60,88,21586.579096464,0,-314413.420903536
"492",25,60,91,21586.579096464,0,-350413.420903536
"493",39,60,88,43781.6922550225,0,-292218.307744977
"494",40,60,75,46090.6109814258,0,-133909.389018574
"495",39,60,85,43781.6922550225,0,-256218.307744977
"496",26,60,73,22693.5934864521,0,-133306.406513548
"497",29,60,79,26375.7729182613,0,-201624.227081739
"498",30,60,68,27735.0538552814,0,-68264.9461447186
"499",29,60,65,26375.7729182613,0,-33624.2270817387
"500",34,60,55,33936.5730090924,1,33936.5730090924
"501",38,60,95,41595.5273390858,0,-378404.472660914
"502",28,60,73,25084.8662777387,0,-130915.133722261
"503",31,60,81,29166.4308372293,0,-222833.569162771
"504",40,60,88,46090.6109814258,0,-289909.389018574
"505",31,60,68,29166.4308372293,0,-66833.5691627707
"506",27,60,88,23858.5741941828,0,-312141.425805817
"507",33,60,81,32262.692948038,0,-219737.307051962
"508",32,60,86,30674.138324602,0,-281325.861675398
"509",30,60,85,27735.0538552814,0,-272264.946144719
"510",39,60,78,43781.6922550225,0,-172218.307744977
"511",25,60,80,21586.579096464,0,-218413.420903536
"512",28,60,46,25084.8662777387,1,25084.8662777387
"513",29,60,80,26375.7729182613,0,-213624.227081739
"514",40,60,72,46090.6109814258,0,-97909.3890185742
